Doctor ID,Name,Phone Number,Department,Annual Salary
a74a700b-8431-49bc-abc0-78b99e873b7f,Blake Alvarez,+1-874-034-3203x9384,Neurology,128808
5c0b95b7-5c0e-4eef-ad72-a6f3e0d60ab4,David Johnson,3922929446,General Surgery,188241
0e001ce3-909a-4424-847c-18e9a8652240,Christina Thompson,058-888-9992x847,Oncology,122989
9e0dc512-4738-4f6a-b956-5015ba1fd373,Rodney Dalton,(241)315-4394x4244,Neurology,116270
d167098f-228e-4813-be55-12db6e669db4,Matthew Martin,(933)684-9378,Pediatrics,213897
4597c3a3-b178-46b3-a0cf-ac79323ac9fe,Michelle Ingram,001-661-783-2999x79698,Neurology,142820
46aafe9a-1e8e-463c-8a0b-e5c174fb1847,Ryan Strong,141-816-3692,Cardiology,294507
6a1326c1-3da2-4216-810f-23fafa74f8ed,Christina Conner,(292)072-4483x090,Neurology,163322
ff9b8a51-46f3-4972-a98b-cb10d6e2625b,Robert Spencer,650-808-7084x1372,Neurology,240933
3121e87a-cefe-4433-9523-75988a836c05,Brittany Hill,892.099.2979,Cardiology,257095
f3c4ba4a-a9f5-43d6-b93a-d3bcd53dcb13,Jill Nguyen,0815626814,Radiology,292044
115d563f-8e4f-4bcc-8724-7dbd7f5af77a,Joseph Nichols,744-909-7429x277,Cardiology,206004
07916810-4fdc-414e-9f6b-3162fd0b033b,Dr. Brandon Ferguson MD,474.731.5536,Oncology,138185
3d4776bb-7ba2-415b-8db3-4acc70edf8e7,Erica Escobar,751.512.2424x4722,Radiology,221454
c37ab851-0e43-46ba-988f-9cc57a00a07d,Sabrina Mitchell MD,(460)476-3161x5465,Radiology,142703
61a8d95f-29e3-4ebe-b94f-ce52aa039047,Steven Moore,475.566.8938,General Surgery,105612
533d4d6c-fee0-4681-bbfd-b70a392cd230,Julia Wong,+1-097-487-3988x101,Cardiology,118542
556a1d24-4b81-495f-97fc-dcf2695f588f,Victoria Silva,(445)686-0561x2967,Radiology,229593
9bcdd455-8549-4768-86da-dfe89c81e618,Angel Vazquez,+1-108-413-2911x747,Pediatrics,224707
fa1224a9-462e-4a87-b779-9b67a90c9c69,Michael Gray,785-716-9899x381,Oncology,283726
75bea3a5-b428-4f6c-a7c7-880223aafffc,Melissa Flores,+1-763-815-6201x415,Oncology,172621
c2fdbd4e-3b5c-4c63-852d-025a0038079f,Luis Hernandez,(213)304-7649,Radiology,233662
a1cd8851-16e1-4718-8611-9a75ab21ffc1,David Hodge,001-308-980-8125x365,Cardiology,125254
97b2d9b2-1074-4a87-84c6-fbc9eda9a5db,Steven Rose,(025)045-6899,Cardiology,204022
20d0a999-e40d-4073-8f8d-6d76d0cf7103,Lori May,675-319-5469,General Surgery,143864
4bcc7238-c7a5-4fcd-af76-b07808a15e05,Lori Jones,001-421-112-4714x2747,General Surgery,166851
827316f9-50f5-44a4-bb3f-fde211e0dde5,Robin Gregory,985-543-6958x031,Pediatrics,287168
aceb402b-d091-4638-97e5-35c22ff79707,Stephanie Porter,+1-221-470-5327x999,Oncology,294338
63410a7d-1f77-44ee-a691-d3ef451d06cb,Deanna Anderson,(136)310-0073x1738,Cardiology,112235
f2af326d-5e09-408b-bb9c-e7f7599f8ec7,Benjamin Brown,246-594-8068,Pediatrics,289583
87ab1357-3471-4bc5-b63e-6867177aa274,Joseph Gilbert,148.904.0054x875,Oncology,296334
d71ce341-c114-4692-b546-26ee12ca9a89,Jacob Kent,325.464.2566x54179,Cardiology,293838
a54a4e8c-6433-4afc-86a8-cadbe7cf0a57,Scott Myers,(613)741-5999x184,General Surgery,269635
6119576f-e689-406c-8b6b-a86b443ed9ae,Stephanie Hoover,271.661.0504x77609,Oncology,167946
ed0a8e7c-dcab-430a-b695-d8c5b4509830,Darlene Carey,+1-372-374-9184x6890,Radiology,126092
a759b898-8c70-406f-9ecc-d41224ee87c9,Laura Simpson,713-000-8920x52798,Oncology,226582
223fcd1c-93f5-4533-be1c-578835dd85ec,Robin Grant,(827)284-5554x798,Neurology,154917
1cd986d9-40c7-4bd7-beff-94e315779e3b,Donald Stevenson,(462)066-4882x052,Neurology,151387
995bd004-3ac7-4e6e-8707-0f598c702d96,Norman Hernandez,545-808-4219x713,General Surgery,107895
82e4804c-eae2-4ead-82ae-9fa809897761,Beverly Bowman,001-260-855-6705x7972,General Surgery,267357
78d7eaee-2588-4426-8556-5a8111646994,Shane Bailey,776.049.2179,General Surgery,145631
2cae64b3-8f27-46dd-8ff7-49bd2fe29911,Juan Collins,001-547-542-7494x46031,Radiology,166783
18ed9ee5-98d2-403f-ba4d-51c8f026ec01,Michael Williams,590.452.1310x02679,Neurology,253420
09199d32-3e28-4370-b802-b56b963763ba,Jessica Castro,(296)318-0870x8501,Cardiology,143483
eb4bd34b-6cd4-489d-b691-5493bbade856,Ashley Freeman,0796565394,Neurology,231651
5b58b437-a54d-4b72-a4a2-c1de04e88428,Keith Carpenter,0140046990,General Surgery,185986
a0225424-ed0b-405e-958d-9c65827e9805,Theresa Bowers,812.568.8205,Pediatrics,170489
27384a3f-9396-4f21-a6b1-b17312421697,Lisa Gomez,(895)496-8376x5938,Oncology,270088
87318530-aa11-4368-adb9-0646a2fdab1c,Sarah Holloway,093.740.6347x915,Cardiology,104973
c9f1b35e-54ff-471b-9170-083f92dbfc0f,Tony Bradford,7671603837,Pediatrics,107382
